# Vulpora 대화형 설치기용 스킬 설명 카탈로그
# 형식: id | 표시 이름 | 한 줄 설명
product-ui-design | 제품 UI/UX 디자인 | 제품 맥락을 근거로 상투적인 AI 템플릿 느낌 없이 인터페이스를 설계·구현·검토합니다.
refactoring-catalog | 리팩터링 기법 선택 | 코드 냄새에 맞는 안전한 리팩터링 절차와 검증 방법을 제시합니다.
repository | Repository 생성 | Spring Data, JDBC와 QueryDSL 규칙에 맞는 데이터 접근 계층을 생성합니다.
request | Request DTO 생성 | Bean Validation과 Kotlin 규칙에 맞는 REST 요청 DTO를 생성합니다.
response | Response DTO 생성 | 변환 factory와 pagination 규칙을 포함한 REST 응답 DTO를 생성합니다.
retro | 작업 회고 | 완료한 작업을 Keep·Problem·Try로 정리하고 개선 항목을 도출합니다.
schema-doc-extract | DB 스키마 문서화 | migration과 ORM 코드를 분석해 Mermaid ERD와 테이블 명세를 생성합니다.
code-diagram-extract | 코드 흐름 다이어그램 | 실행 경로를 추적해 실제 파일·라인에 연결된 Mermaid 다이어그램을 만듭니다.
service | 도메인 Service 생성 | transaction 경계와 orchestration 규칙에 맞는 도메인 service를 생성합니다.
skill-updater | 스킬 유지보수 | 스킬 구조, 지식 출처와 버전을 점검하고 안전하게 업데이트합니다.
start-task | 작업 명확화·분해·실행 | 요구를 명확히 하고 승인된 범위를 작업 DAG로 나눠 검증까지 진행합니다.
test-authoring | Kotlin·Spring 테스트 작성 | 결정성, 격리와 완전한 검증을 강제하는 테스트 작성 기준을 적용합니다.
test-quality-review | 테스트 품질 리뷰 | 기존 테스트의 contract·oracle·결함 탐지력과 실행 증거를 근거 기반으로 감사합니다.
test-refactoring | 테스트 리팩터링 | 검증된 품질 finding만 test·fixture 범위에서 탐지력을 보존하거나 강화하도록 개선합니다.
test-quality-refactoring-workflow | 테스트 품질·리팩터링 워크플로 | 품질 리뷰부터 test-only 개선과 negative proof 재검증까지 하나의 판정으로 조정합니다.
visual-artifact-router | 시각 산출물 라우팅 | 문서·PDF·다이어그램 요청을 생성·렌더·시각 검증 단계로 조합합니다.
